0.08	4.93	
0.14	4.875	
0.2	4.877	
0.27	4.881	
0.33	4.808	
0.39	5.013	
0.46	4.785	
0.52	4.845	
0.58	4.878	
0.65	4.838	
0.71	4.867	
0.77	4.92	
0.84	4.817	
0.9	4.927	
0.96	4.88	
1.03	4.926	
1.09	4.828	
1.15	4.948	
1.22	4.899	
1.28	4.924	
1.34	4.915	
1.41	5.094	
1.47	4.754	
1.53	4.31	
1.6	4.676	
1.66	5.004	
1.72	4.931	
1.79	4.202	
1.85	4.449	
1.91	4.263	
1.98	4.54	
2.04	4.457	
2.1	4.906	
2.17	5.29	
2.23	4.95	
2.29	5.206	
2.36	5.407	
2.42	5.763	
2.48	3.752	
2.55	5.724	
2.61	4.74	
2.67	5.117	
2.74	5.201	
2.8	4.296	
2.87	4.525	
2.93	5.634	
2.99	4.85	
3.06	5.0	
3.12	5.671	
3.18	4.503	
3.25	5.434	
3.31	5.007	
3.37	4.72	
3.44	5.916	
3.5	4.035	
3.56	6.099	
3.63	4.615	
3.69	4.646	
3.75	5.56	
3.82	4.148	
3.88	5.331	
3.94	4.745	
4.01	4.256	
4.07	5.65	
4.13	4.27	
4.2	5.342	
4.26	5.386	
4.32	4.787	
4.39	6.077	
4.45	4.741	
4.51	5.699	
4.58	5.42	
4.64	4.725	
4.7	6.173	
4.77	4.299	
4.83	5.458	
4.89	4.997	
4.96	4.185	
5.02	5.605	
5.08	4.145	
5.15	5.182	
5.21	5.183	
5.27	4.362	
5.34	5.772	
5.4	4.388	
5.46	5.278	
5.53	6.156	
5.59	4.745	
5.65	6.499	
5.72	5.101	
5.78	5.325	
5.84	5.955	
5.91	4.524	
5.97	5.711	
6.03	4.641	
6.1	4.228	
6.16	5.456	
6.22	4.105	
6.29	5.382	
6.35	4.973	
6.41	4.561	
6.48	5.905	
6.54	4.139	
6.6	5.927	
6.67	5.268	
6.73	5.287	
6.8	6.849	
6.86	4.88	
6.92	6.409	
6.99	5.311	
7.05	4.687	
7.11	5.784	
7.17	4.242	
7.24	5.066	
7.3	5.3	
7.36	3.855	
7.43	5.82	
7.49	4.084	
7.56	5.238	
7.62	5.188	
7.68	4.462	
7.75	5.839	
7.81	4.559	
7.87	5.555	
7.94	5.676	
8.0	4.631	
8.06	6.342	
8.13	4.63	
8.19	5.449	
8.25	5.419	
8.32	4.397	
8.38	5.569	
8.44	4.689	
8.51	4.812	
8.57	5.661	
8.63	4.089	
8.7	5.735	
8.76	4.488	
8.82	4.782	
8.89	5.716	
8.95	4.368	
9.01	5.875	
9.08	5.081	
9.14	4.631	
9.2	5.686	
9.27	4.417	
9.33	5.436	
9.39	5.283	
9.46	4.685	
9.52	5.855	
9.58	4.063	
9.65	5.543	
9.71	4.646	
9.77	4.615	
9.84	5.853	
9.9	4.194	
9.97	5.808	
10.03	4.866	
10.09	4.598	
10.15	6.027	
10.22	4.58	
10.28	5.29	
10.35	5.415	
10.41	4.365	
10.47	5.977	
10.54	4.223	
10.6	5.399	
