0.10s	9.324	14.632	-17.687
0.21s	9.310	14.646	-17.702
0.32s	9.309	14.633	-17.689
0.42s	9.316	14.611	-17.693
0.53s	9.308	14.624	-17.695
0.64s	9.317	14.620	-17.732
0.74s	9.324	14.619	-17.711
0.85s	9.322	14.630	-17.714
0.96s	9.315	14.631	-17.700
1.06s	9.319	14.619	-17.707
1.17s	9.327	14.607	-17.697
1.27s	9.315	14.631	-17.710
1.38s	9.310	14.616	-17.705
1.49s	9.327	14.615	-17.709
1.59s	9.317	14.611	-17.720
1.70s	9.330	14.628	-17.726
1.81s	9.326	14.616	-17.750
1.91s	9.319	14.611	-17.747
2.02s	9.312	14.611	-17.758
2.13s	9.324	14.608	-17.749
2.23s	9.324	14.606	-17.752
2.34s	9.338	14.611	-17.741
2.45s	9.325	14.603	-17.763
2.56s	9.328	14.603	-17.757
2.66s	9.336	14.595	-17.758
2.77s	9.347	14.609	-17.756
2.88s	9.332	14.608	-17.785
2.98s	9.336	14.593	-17.757
3.09s	9.334	14.591	-17.767
3.20s	9.325	14.591	-17.770
0.10s	13.589	14.174	-13.780
0.21s	13.578	14.160	-13.792
0.32s	13.576	14.168	-13.787
0.42s	13.590	14.172	-13.796
0.53s	13.584	14.168	-13.793
0.64s	13.572	14.164	-13.772
0.75s	13.593	14.163	-13.791
0.85s	13.581	14.178	-13.779
0.96s	13.573	14.154	-13.802
1.07s	13.564	14.173	-13.788
1.18s	13.571	14.165	-13.773
1.28s	13.587	14.175	-13.786
1.39s	13.585	14.171	-13.793
1.50s	13.580	14.163	-13.788
1.60s	13.566	14.172	-13.782
1.71s	13.578	14.148	-13.802
1.82s	13.580	14.174	-13.787
1.93s	13.593	14.172	-13.804
2.04s	13.581	14.169	-13.805
2.14s	13.580	14.162	-13.781
2.25s	13.573	14.170	-13.783
2.36s	13.569	14.166	-13.784
2.47s	13.584	14.178	-13.788
2.58s	13.570	14.172	-13.790
0.04s	13.538	14.171	-13.808
0.15s	13.549	14.148	-13.833
0.25s	13.541	14.165	-13.829
0.36s	13.544	14.166	-13.809
0.47s	13.546	14.185	-13.817
0.58s	13.544	14.173	-13.817
0.68s	13.554	14.163	-13.800
0.79s	13.546	14.166	-13.819
0.90s	13.553	14.162	-13.822
1.01s	13.542	14.169	-13.799
1.11s	13.544	14.172	-13.814
1.22s	13.543	14.169	-13.800
1.33s	13.545	14.178	-13.835
1.44s	13.529	14.171	-13.833
1.54s	13.529	14.160	-13.855
1.65s	13.540	14.169	-13.848
1.76s	13.544	14.179	-13.853
1.87s	13.542	14.177	-13.843
1.98s	13.552	14.185	-13.843
2.08s	13.551	14.164	-13.856
2.19s	13.530	14.169	-13.851
2.30s	13.544	14.184	-13.846
2.41s	13.537	14.185	-13.843
2.52s	13.528	14.181	-13.851
2.62s	13.525	14.189	-13.845
2.73s	13.532	14.180	-13.865
0.04s	-0.042	-0.036	-0.114
0.15s	-0.036	-0.058	-0.114
0.25s	-0.035	-0.049	-0.125
0.36s	-0.030	-0.054	-0.128
0.47s	-0.027	-0.037	-0.118
0.58s	-0.042	-0.046	-0.105
0.69s	-0.034	-0.037	-0.119
0.79s	-0.023	-0.042	-0.117
0.90s	-0.036	-0.040	-0.113
1.01s	-0.035	-0.045	-0.101
1.12s	-0.039	-0.045	-0.094
1.23s	-0.029	-0.054	-0.106
1.34s	-0.046	-0.057	-0.108
1.44s	-0.043	-0.046	-0.069
1.55s	-0.036	-0.029	-0.088
1.66s	-0.041	-0.045	-0.092
1.77s	-0.029	-0.056	-0.081
1.87s	-0.030	-0.046	-0.086
1.98s	-0.037	-0.037	-0.080
2.09s	-0.050	-0.050	-0.104
2.20s	-0.042	-0.044	-0.078
2.31s	-0.037	-0.033	-0.081
2.42s	-0.042	-0.035	-0.090
2.52s	-0.051	-0.037	-0.107
2.63s	-0.036	-0.050	-0.074
2.74s	-0.028	-0.041	-0.088
2.85s	-0.029	-0.038	-0.076
2.96s	-0.034	-0.036	-0.069
3.07s	-0.068	-0.059	-0.096
3.17s	-0.035	-0.044	-0.071
